product_id,brand,Oct_total,Oct_percentage,Nov_total,Nov_percentage,Dec_total,Dec_percentage,total_sales_product
4100346,sony,"","","","",534083.93,0.00516939103700688551349,534083.93
1005177,unknown,9907.04,0.00014383518140994405513,"","","","",528312.46
1005177,samsung,81958.24,0.00118990922802771900153,436447.18,0.00529560984330924514621,"","",528312.46
1004750,samsung,274546.97,0.00398600522815093793772,252406.71,0.00306256408391343502241,"","",526953.68
1005141,apple,249388.48,0.00362074214521695731320,270415.88,0.00328107743969185833257,"","",519804.36
1005130,apple,"","","","",518398.95,0.00501757633060365735988,518398.95
1003306,apple,"","","","",515891.72,0.00499330888580389569503,515891.72
1003312,apple,292809.84,0.00425115437658641664682,186661.80,0.00226485153472596994560,"","",479471.64
1004238,apple,322872.75,0.00468762219276166386844,155222.12,0.00188337976332285809959,"","",478094.87
1801690,samsung,"","","","",462054.79,0.00447222197835478538804,462054.79
1004741,xiaomi,302773.07,0.00439580535149708591455,155928.72,0.00189195325878061844740,"","",458701.79
1004838,oppo,216581.91,0.00314444055085698417003,241765.16,0.00293344537376833224629,"","",458347.07
1004785,huawei,"","","","",453721.51,0.00439156427547114173134,453721.51
1005073,samsung,229146.89,0.00332686498617896922728,223721.57,0.00271451438465611879882,"","",452868.46
1004836,samsung,"","","","",452752.03,0.00438218069184121031219,452752.03
1002532,apple,185139.25,0.00268794085921233636883,266119.48,0.00322894728701039561564,"","",451258.73
1002547,apple,"","","","",444678.95,0.00430404146119062783934,444678.95
1003304,apple,288561.23,0.00418947100899225104186,154447.86,0.00187398531866799604652,"","",443009.09
4100346,sony,134241.63,0.00194898468198539504834,306666.99,0.00372092845430234615846,"","",440908.62
1004665,samsung,318327.19,0.00462162756195268507173,120323.17,0.00145993511386686394949,"","",438650.36
4804718,apple,"","","","",434501.75,0.00420553648190427021447,434501.75
1005014,samsung,226192.28,0.00328396853422706080633,206878.21,0.00251014632570703541340,"","",433070.49
1004246,apple,"","","","",428969.58,0.00415199068431174878638,428969.58
1801881,samsung,183818.60,0.00266876702602613316177,243783.48,0.00295793455768045631087,"","",427602.08
4804055,apple,191746.39,0.00278386650203813476753,230074.03,0.00279159163763602864180,"","",421820.42
1002547,apple,212608.01,0.00308674555543908167970,203863.63,0.00247356907133814893205,"","",416471.64
1005143,apple,180965.15,0.00262733926370820521744,229375.98,0.00278312188317199013261,"","",410341.13
