product_id,brand,Oct_total,Oct_percentage,Nov_total,Nov_percentage,Dec_total,Dec_percentage,total_sales_product
1005115,apple,3761462.62,0.05461072715103839890356,6195131.03,0.07516830985838548089989,"","",9956593.65
1005115,apple,"","","","",7292783.27,0.07058674929757157377136,7292783.27
1005105,apple,2946326.88,0.04277619362370541238834,3346744.03,0.04060754987190993337541,"","",6293070.91
1004249,apple,1984613.28,0.02881357208181092392209,2015739.88,0.02445787815625019415682,"","",4000353.16
1005105,apple,"","","","",3918880.53,0.03793079092809025939145,3918880.53
1005135,apple,1646975.35,0.02391158188974265810831,2127517.07,0.02581412105286244336939,"","",3774492.42
1004767,samsung,1621748.35,0.02354532414561033819344,1669771.86,0.02026009263686109009384,"","",3291520.21
1002544,apple,1433438.91,0.02081135694010748614087,1680917.50,0.02039532769759394040996,"","",3114356.41
1002544,apple,"","","","",2625201.52,0.02540928952463492416577,2625201.52
1004249,apple,"","","","",2582430.10,0.02499530553678481782443,2582430.10
1004767,samsung,"","","","",2460281.78,0.02381303362196901557471,2460281.78
1005135,apple,"","","","",2435511.75,0.02357328484115774558183,2435511.75
1004856,samsung,1140413.15,0.01655706773289859950086,1220149.14,0.01480461804356098765107,"","",2360562.29
1005116,apple,"","","","",2221933.38,0.02150606272575625748803,2221933.38
1005116,apple,575129.23,0.00835000334420890990050,1574536.75,0.01910456223351505695819,"","",2149665.98
1002524,apple,1049228.90,0.01523321084522279611274,1026294.97,0.01245249825023675590702,"","",2075523.87
1004870,samsung,916887.10,0.01331180881079893851591,896668.96,0.01087968759648272627788,"","",1813556.06
4804056,apple,602464.69,0.00874687272679182763997,885642.24,0.01074589544557132637227,"","",1488106.93
1003317,apple,846343.34,0.01228762050461065674441,602850.77,0.00731465940886262063758,"","",1449194.11
1004873,samsung,680644.15,0.00988191980559957090278,678282.10,0.00822990164651875112874,"","",1358926.25
1004833,samsung,664063.56,0.00964119480897758246563,692428.23,0.00840154300131621416361,"","",1356491.79
1005124,apple,"","","","",1326062.70,0.01283494269503512402650,1326062.70
1004856,samsung,"","","","",1299298.45,0.01257589188618152019670,1299298.45
