product_id,brand,total_sales,avg,range,stddev,coefficient_var
1005115,apple,9956593.65,955.362778,102.97,33.904583094747835,0.035488700078649946
1005115,apple,7292783.27,901.619474,56.69,18.190711703318165,0.020175597608396562
1005105,apple,6293070.91,1371.963458,149.42,35.665024172858374,0.025995607947787176
1004249,apple,4000353.16,747.362200,127.82,24.976687052553864,0.03341978902940751
1005105,apple,3918880.53,1294.480533,62.71,12.983807471942425,0.010030129570084794
1005135,apple,3774492.42,1683.774245,128.57,36.34769894984808,0.021587038201696735
1004767,samsung,3291520.21,247.678732,42.37,6.062405821060386,0.024476892998064874
1002544,apple,3114356.41,468.243929,41.44,13.257914664374958,0.02831411972108016
1002544,apple,2625201.52,455.829118,57.28,14.432054366571785,0.03166110675398272
1004249,apple,2582430.10,756.576909,71.58,22.690353218014238,0.029990808532611768
1004767,samsung,2460281.78,236.844787,25.21,7.055138100006113,0.02978802358021126
1005135,apple,2435511.75,1649.528378,91.18,23.56841129632947,0.014287969586134316
1004856,samsung,2360562.29,128.296203,11.80,2.531265166486994,0.019729852538870492
1005116,apple,2221933.38,972.920805,270.00,31.14726839411222,0.032014186801270245
1005116,apple,2149665.98,1025.713361,113.25,36.745693147317226,0.035824524223310006
1002524,apple,2075523.87,535.107931,72.64,17.406303330813298,0.03252858409010069
1004870,samsung,1813556.06,283.283567,62.94,9.247670948138763,0.032644572525234984
4804056,apple,1488106.93,161.977765,11.87,2.8991506869913417,0.01789844851230872
1003317,apple,1449194.11,958.199756,140.06,32.42993913714647,0.033844653929494914
1004873,samsung,1358926.25,367.145195,69.22,12.295185902093198,0.0334886199507342
1004833,samsung,1356491.79,171.762442,13.13,2.8282810976224204,0.016466237116158494
1005124,apple,1326062.70,1456.982258,82.13,28.065784338857565,0.019262955457936375
1004856,samsung,1299298.45,127.056279,15.18,5.556975891896862,0.043736334289286576
1003306,apple,1288723.38,585.259381,39.91,10.627979858036586,0.018159435291540568
1004258,apple,1264568.36,749.506129,106.67,26.151546052570016,0.03489170407113511
1005129,apple,1253832.56,1351.438036,152.90,46.561551490343426,0.03445333803698228
1005106,apple,1232253.13,1478.761613,148.16,42.82071520457282,0.028957145511575317
1005132,apple,1220497.29,1357.853039,166.77,45.04492050108358,0.03317363455934614
1005132,apple,1210983.75,1275.135472,24.59,7.759210548175259,0.006085008784208036
1005174,samsung,1193952.12,626.445000,51.48,24.226542606543493,0.03867305606484766
1002633,apple,1170890.13,378.435000,79.28,25.194789911997237,0.06657626781877267
1005124,apple,1156258.18,1593.492427,235.30,49.06290496954926,0.030789543858653845
4804056,apple,1140968.89,166.374945,22.86,5.878563576178257,0.03533322626299445
1005144,apple,1129726.91,1679.565769,122.55,41.85907677123808,0.024922558880299542
1004836,samsung,1094793.85,230.596556,28.01,6.6756635256815375,0.028949536981296188
